schedule,mdrm,caption
RCV,RCONJF86,Liabilities of consolidated VIEs for
RCV,RCONJF87,All other assets of consolidated VIE
RCV,RCONJF88,All other assets of consolidated VIE
RCV,RCONJF89,Assets of consoidated variable inter
RCV,RCONJF90,Assets of consoidated variable inter
RCV,RCONJF91,Assets of consolidated variable inte
RCV,RCONJF92,Liabilities of consolidated VIEs for
RCV,RCONJF93,Liabilities of consolidated VIEs for
RCE,RCONJH83,Total reciprocal deposit
RCE,RCONJH84,Total reciprocal deposits as of June
RIBII,RCONJJ03,Allowance for credit losses on other
RICII,RCONJJ04,"Loans and Leases, Held for Investmen"
RICII,RCONJJ05,"Loans and Leases, Held for Investmen"
RICII,RCONJJ06,"Loans and Leases, Held for Investmen"
RICII,RCONJJ07,"Loans and Leases, Held for Investmen"
RICII,RCONJJ08,"Loans and Leases, Held for Investmen"
RICII,RCONJJ09,"Loans and Leases, Held for Investmen"
RICII,RCONJJ11,"Loans and Leases, Held for Investmen"
RICII,RCONJJ12,"Loans and Leases, Held for Investmen"
RICII,RCONJJ13,"Loans and Leases, Held for Investmen"
RICII,RCONJJ14,"Loans and Leases, Held for Investmen"
RICII,RCONJJ15,"Loans and Leases, Held for Investmen"
RICII,RCONJJ16,"Loans and Leases, Held for Investmen"
RICII,RCONJJ17,"Loans and Leases, Held for Investmen"
RICII,RCONJJ18,"Loans and Leases, Held for Investmen"
RICII,RCONJJ19,"Loans and Leases, Held for Investmen"
RICII,RCONJJ20,"Held to Maturity Securities, Securit"
RICII,RCONJJ21,"Held to Maturity Securities, Mortgag"
RICII,RCONJJ23,"Held to Maturity Securities, Asset b"
RICII,RCONJJ24,"Held to Maturity Securities, Other d"
RICII,RCONJJ25,"Held to Maturity Securities, Total"
RCRII,RCONJJ30,Amount of allowances for credit loss
RCRII,RCONJJ31,Amount of allowances for credit loss
RCRII,RCONJJ32,Amount of allowances for credit loss
RC,RCONJJ34,Held to maturity securities (ASU 201
RCV,RCONK001,ASST CNSL VIE LESS LN LS LOSS ABCP
RCV,RCONK002,ASST CNSL VIE LESS LN LS LOSS OTHR V
RCV,RCONK003,ASST CNSL VIE TRDG ASST DRVT SCTY TR
RCV,RCONK004,ASST CNSL VIE TRDG ASST DRVT ABCP
RCV,RCONK005,ASST CNSL VIE TRDG ASST DRVT OTHR VI
RCV,RCONK006,ASST CNSL VIE DRVT TRDG ASST SCTY TR
RCV,RCONK007,ASST CNSL VIE DRVT TRDG ASST ABCP
RCV,RCONK008,ASST CNSL VIE DRVT TRDG ASST OTHR VI
RCV,RCONK009,ASST CNSL VIE OTHR RE OWNED SCTY TRS
RCV,RCONK010,ASST CNSL VIE OTHR RE OWNED ABCP
RCV,RCONK011,ASST CNSL VIE OTHR RE OWNED OTHR VIE
RCV,RCONK012,ASST CNSL VIE OTHR ASST SCTY TRST
RCV,RCONK013,ASST CNSL VIE OTHR ASST ABCP
RCV,RCONK014,ASST CNSL VIE OTHR ASST OTHR VIE
RCV,RCONK015,LIAB CNSL VIE SCTY AGRE REPRCH SCTY
RCV,RCONK016,LIAB CNSL VIE SCTY AGRE REPURCH ABCP
RCV,RCONK017,LIAB CNSL VIE SCTY AGRE REPURCH OTHR
RCV,RCONK018,LIAB CNSL VIE SCTY TRDG LIAB SCTY TR
RCV,RCONK019,LIAB CNSL VIE DRVT TRDG LIAB ABCP
RCV,RCONK020,LIAB CNSL VIE DRVT TRDG LIAB OTHR VI
RCV,RCONK021,LIAB CNSL VIE RCRS CMRL PAPER SCTY T
RCV,RCONK022,LIAB CNSL VIE CR NO RCRS CMRL PAPER
RCV,RCONK023,LIAB CNSL VIE RCRS CMRL PAPER OTHR V
RCV,RCONK024,LIAB CNSL VIE BRW EXCL CMRL SCTY TRS
RCV,RCONK025,LIAB CNSL VIE BRW MONEY EXCL CMRL AB
RCV,RCONK026,LIAB CNSL VIE BRW EXCL CMRL OTHR VIE
RCV,RCONK027,LIAB CNSL VIE RCRS OTHR LIAB SCTY TR
RCV,RCONK028,LIAB CNSL VIE CR NO RCRS OTHR LIAB A
RCV,RCONK029,LIAB CNSL VIE CR NO RCRS OTHR LIAB V
RCV,RCONK030,ALL OTHR ASST CNSL VIE NT INCL SCTY
RCV,RCONK031,ALL OTHR ASST CNSL VIE NT INCL ABCP
RCV,RCONK032,ALL OTHR ASST CNSL VIE NT INCL OTHR
RCV,RCONK033,ALL OTHR LIAB CNSL VIE NT INCL SCTY
RCV,RCONK034,ALL OTHR LIAB CNSL VIE NT INCL ABCP
RCV,RCONK035,ALL OTHR LIAB CNSL VIE NT INCL OTHR
RCN,RCONK036,"LN GUAR US , EXCLUD FDIC PD 30 - 89"
RCN,RCONK037,"LN GUAR US , EXCLUD FDIC PD 90"
RCN,RCONK038,"LN GUAR US , EXCLUD FDIC NACRL"
RCN,RCONK039,GUAR LN EXCL REBOOK GNMA LN PD 30 -
RCN,RCONK040,GUAR LN EXCL REBOOK GNMA LN PD 90
RCN,RCONK041,GUAR LN EXCL REBOOK GNMA LN NACRL
RCN,RCONK042,REBOOK GNMA LN REPURCH PD 30 - 89
RCN,RCONK043,REBOOK GNMA LN REPURCH PD 90
RCN,RCONK044,REBOOK GNMA LN REPURCH NACRL
RCN,RCONK045,LS SHR FDIC 1-4 FAM RES PD 30 - 89
RCN,RCONK046,LS SHR FDIC 1-4 FAM RES PD 90
RCN,RCONK047,LS SHR FDIC 1-4 FAM RES NACRL
RCN,RCONK048,LS SHR FDIC OTHR CNSTRTN LN PD 30 -
RCN,RCONK049,LS SHR FDIC OTHR CNSTRTN LN PD 90
RCN,RCONK050,LS SHR FDIC OTHR CNSTRTN LN NACRL
RCN,RCONK051,LS SHR FDIC SECD FARM PD 30 - 89
RCN,RCONK052,LS SHR FDIC SECD FARM PD 90
RCN,RCONK053,LS SHR FDIC SECD FARM NACRL
RCN,RCONK054,LS SHR FDIC SECD FAM OPEN LN 30 - 89
RCN,RCONK055,LS SHR FDIC SECD FAM OPEN LN PD 90
RCN,RCONK056,LS SHR FDIC SECD FAM OPEN LN NONACRL
RCN,RCONK057,LS SHR FDIC CLS END FAM SECD 1ST 30-
RCN,RCONK058,LS SHR FDIC CLS END FAM SECD 1ST PD
RCN,RCONK059,LS SHR FDIC CLS END FAM SECD 1ST NAC
RCN,RCONK060,LS SHR FDIC CLS END FAM SECD JR 30-8
RCN,RCONK061,LS SHR FDIC CLS END FAM SECD JR PD 9
RCN,RCONK062,LS SHR FDIC CLS END FAM SECD JR NACR
RCN,RCONK063,LS SHR FDIC LN SECD MULTI PD 30 - 89
RCN,RCONK064,LS SHR FDIC LN SECD MULTI PD 90
RCN,RCONK065,LS SHR FDIC LN SECD MULTI NACRL
RCN,RCONK066,LS SHR FDIC LN SECD OWN NFARM PD 30
RCN,RCONK067,LS SHR FDIC LN SECD OWN NFARM PD 90
RCN,RCONK068,LS SHR FDIC LN SECD OWN NFARM NACRL
RCN,RCONK069,LS SHR FDIC LN SECD NFARM PD 30 - 89
RCN,RCONK070,LS SHR FDIC LN SECD NFARM PD 90
RCN,RCONK071,LS SHR FDIC LN SECD NFARM NACRL
RCN,RCONK072,LS SHR FDIC LN AGRI PD 30 - 89
RCN,RCONK073,LS SHR FDIC LN AGRI PD 90
RCN,RCONK074,LS SHR FDIC LN AGRI NACRL
RCN,RCONK075,LS SHR FDIC CMRL IND LN - PD 30 - 89
RCN,RCONK076,LS SHR FDIC CMRL IND LN - PD 90
RCN,RCONK077,LS SHR FDIC CMRL IND LN - NACRL
RCN,RCONK078,LS SHR FDIC LN IND CR CD PD 30-89
RCN,RCONK079,LS SHR FDIC LN IND CR CD PD 90
RCN,RCONK080,LS SHR FDIC LN IND CR CD NACRL
RCN,RCONK081,LS SHR FDIC LN IND AUTO LN PD 30 - 8
RCN,RCONK082,LS SHR FDIC LN IND AUTO LN PD 90
RCN,RCONK083,LS SHR FDIC LN IND AUTO LN NACRL
RCN,RCONK084,LS SHR FDIC LN IND OTHR PD 30 - 89
RCN,RCONK085,LS SHR FDIC LN IND OTHR PD 90
RCN,RCONK086,LS SHR FDIC LN IND OTHR NACRL
RCN,RCONK087,LS SHR FDIC ALL OTHR LN LEASE PD 30
RCN,RCONK088,LS SHR FDIC ALL OTHR LN LEASE PD 90
RCN,RCONK089,LS SHR FDIC ALL OTHR LN LEASE NACRL
RCN,RCONK091,ITEMIZE LN DI ACPTNCE OTHR BK 30 - 8
RCN,RCONK092,ITEMIZE LN DI ACPTNCE OTHR 90
RCN,RCONK093,ITEMIZE LN DI ACPTNCE OTHR NACRL
RCN,RCONK095,ITEMIZE LN FRGN GVT OFFICIAL PD 30 -
RCN,RCONK096,ITEMIZE LN FRGN GVT OFFICIAL PD 90
RCN,RCONK097,ITEMIZE LN FRGN GVT OFFICIAL NACRL
RCCI,RCONK098,LN RSTRCT HOUSE FAMILY CREDIT CARD
RCN,RCONK099,ITEMIZE OTHER LOANS PD 30 - 89
RCN,RCONK100,ITEMIZE OTHER LOANS PD 90
RCN,RCONK101,ITEMIZE OTHER LOANS NACRL
RCN,RCONK102,LS SHR FDIC CVRD LS SHAR PD 30 - 89
RCN,RCONK103,LS SHR FDIC CVRD LS SHAR PD 90
RCN,RCONK104,LS SHR FDIC CVRD LS SHAR NACRL
RCN,RCONK105,LN RSTR 1-4 FAM CNSTRTN LN PD 30 - 8
RCN,RCONK106,LN RSTR 1-4 FAM CNSTRTN LN  PD 90
RCN,RCONK107,LN RSTR 1-4 FAM CNSTRTN LN NACRL
RCN,RCONK108,LN RSTR OTHR CNSTRTN LN 30 - 89
RCN,RCONK109,LN RSTR OTHR CNSTRTN LN PD 90
RCN,RCONK110,LN RSTR OTHR CNSTRTN LN NACRL
RCN,RCONK111,LN RSTR SECD CNSTRTN MULTI PD 30 - 8
RCN,RCONK112,LN RSTR SECD CNSTRTN MULTI PD 90
RCN,RCONK113,LN RSTR SECD CNSTRTN MULTI NACRL
RCN,RCONK114,LN RSTR SECD NONFARM OWN PD 30 - 89
RCN,RCONK115,LN RSTR SECD NONFARM OWN PD 90
RCN,RCONK116,LN RSTR SECD NONFARM OWN NACRL
RCN,RCONK117,LN RSTR SECD NONFARM NONRES PD 30 -
RCN,RCONK118,LN RSTR SECD NONFARM NONRES PD 90
RCN,RCONK119,LN RSTR SECD NONFARM NONRES NACRL
RCN,RCONK120,LN RSTR CMRL IND LN US ADR PD 30 - 8
RCN,RCONK121,LN RSTR CMRL IND LN US ADR PD 90
RCN,RCONK122,LN RSTR CMRL IND LN US ADR NACRL
RCN,RCONK123,LN RSTR CMRL IND LN NUS ADR PD 30 -
RCN,RCONK124,LN RSTR CMRL IND LN NUS ADR PD 90
RCN,RCONK125,LN RSTR CMRL IND LN NUS ADR NACRL
RCN,RCONK126,LN RSTR ALL OTHR LN LEASE PD 30 - 89
RCN,RCONK127,LN RSTR ALL OTHR LN LEASE PD 90
RCN,RCONK128,LN RSTR ALL OTHR LN LEASE NACRL
RCN,RCONK130,ITEMIZE LN FARM PD 30 - 89
RCN,RCONK131,ITEMIZE LN FARM PD 90
RCN,RCONK132,ITEMIZE LN FARM NACRL
RCN,RCONK134,ITEMIZE LN DI ACCEPT PD 30 - 89
RCN,RCONK135,ITEMIZE LN DI ACCEPT PD 90
RCN,RCONK136,ITEMIZE LN DI ACCEPT NACRL
RCCI,RCONK137,LN TO IND HH OTHR AUTO LN
RCN,RCONK138,ITEMIZE LN FINANCE AGRI FARM PD 30 -
RCN,RCONK139,ITEMIZE LN FINANCE AGRI FARM PD 90
RCN,RCONK140,ITEMIZE LN FINANCE AGRI FARM NACRL
RCB,RCONK142,MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ
RCB,RCONK143,MBS CMRL PT SCTY GUAR FNMA HTM FV
RCB,RCONK144,MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ
RCB,RCONK145,MBS CMRL PT SCTY GUAR FNMA AFS FV
RCB,RCONK146,MBS CMRL PT SCTY OTHR HTM AMTRZ
RCB,RCONK147,MBS CMRL PT SCTY OTHR HTM FV
RCB,RCONK148,MBS CMRL PT SCTY OTHR AFS AMTRZ
RCB,RCONK149,MBS CMRL PT SCTY OTHR AFS FV
RCB,RCONK150,MBS CMRL OTHR CMRL GUAR FNMA HTM AMT
RCB,RCONK151,MBS CMRL OTHR CMRL GUAR FNMA HTM FV
RCB,RCONK152,MBS CMRL OTHR CMRL GUAR FNMA AFS AMT
RCB,RCONK153,MBS CMRL OTHR CMRL GUAR FNMA AFS FV
RCB,RCONK154,MBS CMRL OTHR CMRL OTHR CMRL HTM AMT
RCB,RCONK155,MBS CMRL OTHR CMRL OTHR CMRL HTM FV
RCB,RCONK156,MBS CMRL OTHR CMRL OTHR CMRL AFS AMT
RCB,RCONK157,MBS CMRL OTHR CMRL OTHR CMRL AFS FV
RCCI,RCONK158,LN RSTRCT DBT CNST LAND DEV 1-4 FAM
RCCI,RCONK159,LN RSTRCT DBT CNST LAND DEV OTHR CNS
RCCI,RCONK160,LN RSTRCT DBT CNST LAND DEV MULTI NO
RCCI,RCONK161,LN LAND DEV NFARM NRES SCD OWN OCC N
RCCI,RCONK162,LN DBT LAND DEV NFARM NRES SCD NFARM
RCCI,RCONK163,LN RSTRCT DBT CMRL US ADR
RCCI,RCONK164,LN RSTRCT DBT CMRL NONUS ADR
RCCI,RCONK165,LN RSTRCT DBT RSTRCT ALL OTHR LN
RCCI,RCONK166,ITEMIZE DBT RSTRCT LN SCD FARM
RCCI,RCONK167,ITEMIZE DBT RSTRCT LN DI ACPTNCE OTH
RCCI,RCONK168,ITEMIZE DBT RSTRCT LN FI AGRI
RCM,RCONK169,ASSET SHR FDIC LN CNST DEV 1-4 FAM
RCM,RCONK170,ASSET SHR FDIC LN CNST DEV OTHR CNST
RCM,RCONK171,ASSET SHR FDIC LN SCD FARM
RCM,RCONK172,ASSET SHR FDIC LN SCD FAM OPEN SCD F
RCM,RCONK173,ASSET SHR FDIC LN SCD FAM CLS SCD 1S
RCM,RCONK174,ASSET SHR FDIC LN SCD 1-4 FAM CLS SC
RCM,RCONK175,ASSET SHR FDIC LN SCD MULTI RES
RCM,RCONK176,ASSET SHR FDIC LN SCD NFARM NRES OWN
RCM,RCONK177,ASSET SHR FDIC LN SCD NFARM NRES NFA
RCM,RCONK178,ASSET SHR FDIC LN AGRI OTHR FARM
RCM,RCONK179,ASSET SHR FDIC CMRL INDUSTRIAL LN
RCM,RCONK180,ASSET SHR FDIC LN TO IND HH CR CARD
RCM,RCONK181,ASSET SHR FDIC LN TO IND HH AUTO
RCM,RCONK182,ASSET SHR FDIC LN TO IND HH OTHER
RCM,RCONK183,ASSET SHR FDIC ALL OTHR
RCM,RCONK184,ASSET SHR FDIC LN DI ACPTNCE OTHR BK
RCM,RCONK185,ASSET SHR FDIC LN FRGN GVT OFFICIAL
RCM,RCONK186,ASSET SHR FDIC ALL OTHR LN
RCM,RCONK187,ASSET SHR FDIC OTHR RE CNST DEV
RCM,RCONK188,ASSET SHR FDIC OTHR RE FARM
RCM,RCONK189,ASSET SHR FDIC OTHR RE 1-4 FAM
RCM,RCONK190,ASSET SHR FDIC OTHR RE MULTI RES
RCM,RCONK191,ASSET LS SHR FDIC OTHR RE NONFARM RE
RCM,RCONK192,ASSET CVR LS SHR FDIC OREO PRTN PROT
RCM,RCONK193,CPTV INS SUB TOTAL ASSET CPTV INS SU
RCM,RCONK194,CPTV INS SUB TOTAL ASSET CPTV REINS
RCCI,RCONK195,UNPD PRIN BAL LN IND HH AUTO LN
RCCI,RCONK196,AUTO LN FV INDV HH FAM PERS EXPND
RCD,RCONK197,TRDG ASSET MBS CMRL ISS GUAR FNMA
RCD,RCONK198,TRDG ASSET MBS ALL OTHR MBS
RCD,RCONK199,TRDG ASSETS AUTO LN TO INDV HH
RCD,RCONK200,UNPD PRIN BAL LN MSD FV AUTO LN
RCF,RCONK201,LIFE INS ASSET GNRL ACCNT
RCF,RCONK202,LIFE INS ASSET SEPARATE ACCNT
RCCI,RCONK203,LN RSTRCT HOUSE FAMILY AUTO LN
RCCI,RCONK204,LN RSTRCT HOUSE FAMILY OTHR CNSMR LN
RCCI,RCONK207,LN TO IND HH OTHR AUTO LN
RCCI,RCONK208,OTHR CNSMR LN FV INDV HH FAM PERS
RCCI,RCONK209,UNPD PRIN BAL LN IND HH OTHR CNSMR L
RCD,RCONK210,TRDG ASSETS OTHR CNSMR LN TO INDV HH
RCD,RCONK211,UNPD PRIN BAL LN MSD FV OTHR CNSMR L
RCCI,RCONK212,LN RSTRCT DBT FRGN GVT OFFICIAL
RCN,RCONK213,AUTO LN TO IND HH FAM PD 30 - 89
RCN,RCONK214,AUTO LN TO IND HH FAM PD 90
RCN,RCONK215,AUTO LN TO IND HH FAM NONACCRUAL
RCN,RCONK216,OTHR LN TO IND HH FAM PD 30 - 89
RCN,RCONK217,OTHR LN TO IND HH FAM PD 90
RCN,RCONK218,OTHR LN TO IND HH FAM NONACCRUAL
RCE,RCONK219,BRKRD DEP 100000 - 250000 MAT LE 1 Y
RCE,RCONK220,BRKRD DEP GT 250000 MAT LE 1 YR
RCE,RCONK221,TIME DEP 100000 - 250000 MAT LE 1 YR
RCE,RCONK222,TIME DEP GT 250000 MAT LE 1 YRDEP
RCE,RCONK223,EST DEP LISTING SERVICE NOT BROKERED
RCCI,RCONK256,LN RSTRCT DBT CMRL
RCN,RCONK257,LN RSTR CMRL IND LN PD 30 - 89
RCN,RCONK258,LN RSTR CMRL IND LN PD 90
RCN,RCONK259,LN RSTR CMRL IND LN NACRL
RCCI,RCONK267,OBLG ST POLITC SUBS IN US
RCN,RCONK269,ITEMIZE LEASE FIN RCVBL PD 30 - 89
RCF,RCONK270,LIFE INS ASSET HYBRID ACCNT
RCN,RCONK271,ITEMIZE LEASE FIN RCVBL PD 90
RCN,RCONK272,ITEMIZE LEASE FIN RCVBL NACRL
RCM,RCONK273,ASSET SHR FDIC LEASE FNC REC
RCN,RCONK274,CREDIT CARD LN HOUSE FAMILY PD 30 -
RCN,RCONK275,CREDIT CARD LN HOUSE FAMILY PD 90
RCN,RCONK276,CREDIT CARD LN HOUSE FAMILY NACRL
RCN,RCONK277,ITEMIZE AUTO LN HOUSE FAMILY PD 30 -
RCN,RCONK278,ITEMIZE AUTO LN HOUSE FAMILY PD 90
RCN,RCONK279,ITEMIZE AUTO LN HOUSE FAMILY NACRL
RCN,RCONK280,OTHR CNSMR LN HOUSE FAMILY PD 30 - 8
RCN,RCONK281,OTHR CNSMR LN HOUSE FAMILY PD 90
RCN,RCONK282,OTHR CNSMR LN HOUSE FAMILY NACRL
RCN,RCONK283,ITEMIZE LN FRGN GVT OFFICIAL PD 30 -
RCN,RCONK284,ITEMIZE LN FRGN GVT OFFICIAL PD 90
RCN,RCONK285,ITEMIZE LN FRGN GVT OFFICIAL NACRL
RCN,RCONK286,ITEMIZE OTHR LN PD 30 - 89
RCN,RCONK287,ITEMIZE OTHR LN PD 90
RCN,RCONK288,ITEMIZE OTHR LN NACRL
RCO,RCONK652,AVG CNSL TOTAL ASSET
RCO,RCONK653,AVG METHOD USED
RCO,RCONK654,AVG TANGIBLE EQT
RCO,RCONK655,HOLDING LT UNSCD DEBE ISS OTHR INS I
RCO,RCONK656,BANKER'S BANK CERTIFICATION
RCO,RCONK657,BNKRS BNK DEDUCTIONS
RCO,RCONK658,BNKR BNK DEDUCTION LIMIT
RCO,RCONK659,CUSTODIAL BANK CERTIFICATION
RCO,RCONK660,CUST BANK DED
RCO,RCONK661,CUST BANK DED LIMIT
RCO,RCONK663,CRITICIZED CLASSIFIED SPECIAL
RCO,RCONK664,CRITICIZED CLASSIFIED SUBSTANDARD
RCO,RCONK665,CRITICIZED CLASSIFIED DOUBTFUL
RCO,RCONK666,CRITICIZED CLASSIFIED LOSS
RCO,RCONK667,SUBPRIME CNSMR LN
RCO,RCONK668,LEVERAGED LN AND SCTY
RCO,RCONK669,OREO RCV US GOVT GRNT INS PRV
RCO,RCONK670,CMRL IND LN GRNT INS US GOVT
RCO,RCONK671,CREDIT CARD LN GRNT INS US GOVT
RCO,RCONK672,OTHR LN GRNT INS US GOVT
RCO,RCONK673,AMT INST LARGE CNTRPTY EXP
RCO,RCONK674,TOT AMT INST 20 LARGE CNTRPTY EXP
RCO,RCONK675,NTRAD 1-4 FAM RES ML
RCO,RCONK676,CNST LND DEV OTHR UNFND CMT
RCO,RCONK677,CNST LND DEV OTHR GRNT US GOVT
RCO,RCONK678,NBRKD DEP GT 250K
RCO,RCONK679,CNST LND DEV OTHR FUND GRNT US GOVT
RCO,RCONK680,MFMLY RES NFRM NRES FUND GRNT US GOV
RCO,RCONK681,CE LN SCD 1ST LIEN FML FUND GRNT US
RCO,RCONK682,CE LN JR LIEN OEND FUND GRNT US GOVT
RCM,RCONL133,INST USE HOLA QTL OR IRS DBLA
RCM,RCONL135,INST COMPLY W HOLA QLT OR IRS DBLA
RCR,RCONL136,TOTAL ASSETS FOR LEVERAGE RATIO
RCR,RCONL137,OTHR ADD DED FOR LEVERAGE CAP PURP
RCR,RCONL138,TOTAL ASSETS LEVERAGE CAPITAL PURPOS
RCN,RCONL183,PURCH CREDIT IMPR LN BAL PD 30 - 89
RCN,RCONL184,PURCH CREDIT IMPR LN BAL PD 90
RCN,RCONL185,PURCH CREDIT IMPR LN BAL NACRL
RCN,RCONL186,PURCH CREDIT IMPR LN CARRY PD 30 - 8
RCN,RCONL187,PURCH CREDIT IMPR LN CARRY 90
RCN,RCONL188,PURCH CREDIT IMPR LN CARRY NACRL
RCO,RCONL189,LN RESTRUCTURED IN TDR THAT COMPLY
RCO,RCONL190,CNSL RECIPROCAL BRKR DEP
RCP,RCONL191,REP AND WARRNTY TO US GOVT AGCY
RCP,RCONL192,REP AND WARRNTY TO OTHR PARTIES
RCO,RCONL194,CNSLD TOT LIAB BEFORE EXCLUSIONS
RCO,RCONL195,CNSLD TOT ALLOW EXCLUSIONS
RCO,RCONL196,CNSLD  UNSEC MAT LE 1 YR
RCO,RCONL197,CNSLD EST UNINS DEP
RCG,RCONLB56,Operating lease liabilitie
RCCI,RCONLE75,"Revolving, open-end lines of credit"
RCCI,RCONLG24,Number of outstanding Section 4013 l
RCCI,RCONLG25,Outstanding balance of Section 4013
RCM,RCONLG26,Number of outstanding PPP Loan
RCM,RCONLG27,Outstanding balance of PPP loan
RCM,RCONLG28,Outstanding balance of loans pledged
RCM,RCONLL57,Quarterly average amount of PPP loan
RCM,RCONLL58,Quarterly average amount of assets p
RCM,RCONLL59,Outstanding balance of borrowings fr
RCM,RCONLL60,Outstanding balance of borrowings fr
RCM,RCONLL61,Total outstanding balance of assets
RCP,RCONM288,REP WARRNTY TO US GOVT AGCY TOTAL
RIC,RCONM708,RE CNSTR LN RECD INVST:INDV IMPARMNT
RIC,RCONM709,RE CNSTR LN ALLW BAL: INDV IMPAIRMNT
RIC,RCONM710,RE CNSTR LN RECD INVST:COLL IMPARMNT
RIC,RCONM711,RE CNSTR LN ALLW BAL: COLL IMPAIRMNT
RIC,RCONM712,RE CNSTR LN REC INVST PUR CR IMPRMNT
RIC,RCONM713,RE CNSTR LN ALLW BAL PUR CR IMPARMNT
RIC,RCONM714,RE CMRL LN RECD INVST INDV IMPAIRMNT
RIC,RCONM715,RE CMRL LN ALLW BAL: INDV IMPAIRMNT
RIC,RCONM716,RE CMRL LN RECD INVST COLL IMPAIRMNT
RIC,RCONM717,RE CMRL LN ALLW BAL: COLL IMPAIRMNT
RIC,RCONM719,RE CMRL LN REC INVST PUR CR IMPARMNT
RIC,RCONM720,RE CMRL LN ALLW BAL PUR CR IMPAIRMNT
RIC,RCONM721,RE RESD LN RECD INVST INDV IMPAIRMNT
RIC,RCONM722,RE RESD LN ALLW BAL: INDV IMPAIRMNT
RIC,RCONM723,RE RESD LN RECD INVST:COLL IMPAIRMNT
RIC,RCONM724,RE RESD LN ALLW BAL: COLL IMPAIRMNT
RIC,RCONM725,RE RESD LN REC INVST PUR CR IMPARMNT
RIC,RCONM726,RE RESD LN ALLW BAL:PUR CR IMPAIRMNT
RIC,RCONM727,CMRL LN RECD INVST: INDV IMPAIRMNT
RIC,RCONM728,CMRL LN ALLW BAL: INDV IMPAIRMNT
RIC,RCONM729,CMRL LN RECD INVST: COLL IMPAIRMNT
RIC,RCONM730,CMRL LN ALLW BAL: COLL IMPAIRMNT
RIC,RCONM731,CMRL LN RECD INVST: PUR CR IMPAIRMNT
RIC,RCONM732,CMRL LN ALLW BAL: PUR CR IMPAIRMNT
RIC,RCONM733,CC LNS RECD INVST: INDV IMPAIRMNT
RIC,RCONM734,CC LNS ALLW BAL: INDV IMPAIRMNT
RIC,RCONM735,CC LNS RECD INVST: COL IMPAIRMNT
RIC,RCONM736,CC LNS ALLW BAL: COL IMPAIRMNT
RIC,RCONM737,CC LNS RECD INVST: PUR CC IMPAIRMNT
RIC,RCONM738,CC LNS ALLW BAL: PUR COL IMPAIRMNT
RIC,RCONM739,OTHR CONS LN RECD INVST IND IMPAIRMT
RIC,RCONM740,OTHR CONS LN ALLW BAL:INDV IMPAIRMNT
RIC,RCONM741,OTHR CONS LN RECD INVST COL IMPARMT
RIC,RCONM742,OTHR CONS LN ALLW BAL: COL IMPAIRMNT
RIC,RCONM743,OTR CONS LN REC INVST PUR CR IMPRMNT
RIC,RCONM744,OTR CONS LN ALW BAL PUR CR IMPAIRMNT
RIC,RCONM745,UNALLOCATED  ALLW BAL: COL IMPAIRMNT
RIC,RCONM746,TOTAL RECORDED INVST: INDV IMPAIRMNT
RIC,RCONM747,TOTAL ALLOWANCE BAL: INDV IMPAIRMNT
RIC,RCONM748,TOTAL RECORDED INVST: COL IMPAIRMNT
RIC,RCONM749,TOTAL ALLOWANCE BAL: COL IMPAIRMNT
RIC,RCONM750,TOTAL RECORDED INVST PUR CR IMPARMNT
RIC,RCONM751,TOTAL ALLOWANCE BAL:PUR CR IMPAIRMNT
RCO,RCONM963,NON-AGENCY RESIDENTIAL MBS
RCO,RCONM964,2 YR PRB 1-4 FM RES ASSMNT LE 1 PCT
RCO,RCONM965,2YR PRB DFLT 1-4 FM RES LN 7-10 PCT
RCO,RCONM966,2YR PRB DFLT 1-4 FM RES LN 4-7 PCT
RCO,RCONM967,2YR PRB DFLT 1-4 FM RES LN 7-10 PCT
RCO,RCONM968,2YR PRB DFLT 1-4 FM RES LN 10-14 PCT
RCO,RCONM969,2YR PRB DFLT 1-4 FM RES LN 14-16 PCT
RCO,RCONM970,2YR PRB DFLT 1-4 FM RES LN 16-18 PCT
RCO,RCONM971,2YR PRB DFLT 1-4 FM RES LN 18-20 PCT
RCO,RCONM972,2YR PRB DFLT 1-4 FM RES LN 20-22 PCT
RCO,RCONM973,2 YR PRB 1-4 FM RES ASSMNT 22-26 PCT
RCO,RCONM974,2 YR PRB 1-4 FM RES ASSMNT 26-30 PCT
RCO,RCONM975,2 YR PRB 1-4 FM RES ASSMNT GT 30
RCO,RCONM976,2 YR PRB 1-4 FM RES ASSMNT UNSCORE
RCO,RCONM977,2 YR PRB 1-4 FM RES ASSMNT TOTAL
RCO,RCONM978,2 YR PRB 1-4 FM RES ASSMNT PD DERVD
RCO,RCONM979,2YR PRB DFLT 1-4 FM 1ST LN LE 1 PCT
RCO,RCONM980,2YR PRB DFLT 1-4 FM 1ST LN 1-4 PCT
RCO,RCONM981,2YR PRB DFLT 1-4 FM 1ST LN 4-7 PCT
RCO,RCONM982,2YR PRB DFLT 1-4 FM 1ST LN 7-10 PCT
RCO,RCONM983,2YR PRB DFLT 1-4 FM 1ST LN 10-14 PCT
RCO,RCONM984,2YR PRB DFLT 1-4 FM 1ST LN 14-16 PCT
RCO,RCONM985,2YR PRB DFLT 1-4 FM 1ST LN 16-18 PCT
